,trade_date,0,close
641,20140827,DR007.IB,3.9
642,20140828,DR007.IB,3.72
643,20140829,DR007.IB,3.66
644,20140901,DR007.IB,3.51
645,20140902,DR007.IB,3.77
646,20140903,DR007.IB,3.29
647,20140904,DR007.IB,3.29
648,20140905,DR007.IB,2.82
649,20140909,DR007.IB,3.16
650,20140910,DR007.IB,4.0
651,20140911,DR007.IB,4.0
652,20140912,DR007.IB,3.26
653,20140915,DR007.IB,3.8
654,20140916,DR007.IB,3.62
655,20140917,DR007.IB,3.28
656,20140918,DR007.IB,3.38
657,20140919,DR007.IB,3.34
658,20140922,DR007.IB,3.22
659,20140923,DR007.IB,3.2
660,20140924,DR007.IB,3.8
661,20140925,DR007.IB,3.5
662,20140926,DR007.IB,3.6
663,20140929,DR007.IB,2.9
664,20140930,DR007.IB,2.91
665,20141008,DR007.IB,3.4
666,20141009,DR007.IB,3.01
667,20141010,DR007.IB,3.1
668,20141013,DR007.IB,3.06
669,20141014,DR007.IB,3.2
670,20141015,DR007.IB,3.16
671,20141016,DR007.IB,3.02
672,20141017,DR007.IB,3.3
673,20141020,DR007.IB,3.0
674,20141021,DR007.IB,2.95
675,20141022,DR007.IB,2.5
676,20141023,DR007.IB,3.06
677,20141024,DR007.IB,3.1
678,20141027,DR007.IB,3.09
679,20141028,DR007.IB,2.92
680,20141029,DR007.IB,3.85
681,20141030,DR007.IB,3.28
682,20141031,DR007.IB,3.5
683,20141103,DR007.IB,3.2
684,20141104,DR007.IB,3.22
685,20141105,DR007.IB,3.2
686,20141106,DR007.IB,3.55
687,20141107,DR007.IB,3.78
688,20141110,DR007.IB,3.15
689,20141111,DR007.IB,3.12
690,20141112,DR007.IB,3.5
691,20141113,DR007.IB,3.14
692,20141114,DR007.IB,3.12
693,20141117,DR007.IB,3.1
694,20141118,DR007.IB,3.1
695,20141119,DR007.IB,3.2
696,20141120,DR007.IB,3.28
697,20141121,DR007.IB,4.2
698,20141124,DR007.IB,3.5
699,20141125,DR007.IB,4.0
700,20141126,DR007.IB,3.32
701,20141127,DR007.IB,4.0
702,20141128,DR007.IB,3.48
703,20141201,DR007.IB,3.34
704,20141202,DR007.IB,3.6
705,20141203,DR007.IB,3.41
706,20141204,DR007.IB,3.46
707,20141205,DR007.IB,3.5
708,20141208,DR007.IB,3.7
709,20141209,DR007.IB,4.9
710,20141210,DR007.IB,3.56
711,20141211,DR007.IB,5.8
712,20141212,DR007.IB,4.1
713,20141215,DR007.IB,3.68
714,20141216,DR007.IB,5.0
715,20141217,DR007.IB,4.03
716,20141218,DR007.IB,5.61
717,20141219,DR007.IB,6.1
718,20141222,DR007.IB,6.5
719,20141223,DR007.IB,3.8
720,20141224,DR007.IB,5.06
721,20141225,DR007.IB,4.5
722,20141226,DR007.IB,4.2
723,20141229,DR007.IB,4.64
724,20141230,DR007.IB,4.75
725,20141231,DR007.IB,5.07
726,20150105,DR007.IB,4.33
727,20150106,DR007.IB,3.93
728,20150107,DR007.IB,3.86
729,20150108,DR007.IB,3.74
730,20150109,DR007.IB,3.7553
731,20150112,DR007.IB,3.81
732,20150113,DR007.IB,3.85
733,20150114,DR007.IB,3.85
734,20150115,DR007.IB,3.2
735,20150116,DR007.IB,3.88
736,20150119,DR007.IB,4.0
737,20150120,DR007.IB,5.0
738,20150121,DR007.IB,3.5
739,20150122,DR007.IB,4.38
740,20150123,DR007.IB,3.91
741,20150126,DR007.IB,3.89
742,20150127,DR007.IB,4.3
743,20150128,DR007.IB,3.9
744,20150129,DR007.IB,4.16
745,20150130,DR007.IB,2.84
746,20150202,DR007.IB,4.4
747,20150203,DR007.IB,4.9
748,20150204,DR007.IB,4.6
749,20150205,DR007.IB,4.44
750,20150206,DR007.IB,4.38
751,20150209,DR007.IB,4.4
752,20150210,DR007.IB,4.4
753,20150211,DR007.IB,4.61
754,20150212,DR007.IB,5.0
755,20150213,DR007.IB,4.91
756,20150216,DR007.IB,4.95
757,20150217,DR007.IB,4.83
758,20150225,DR007.IB,5.07
759,20150226,DR007.IB,4.73
760,20150227,DR007.IB,5.2
761,20150302,DR007.IB,4.82
762,20150303,DR007.IB,4.2
763,20150304,DR007.IB,4.75
764,20150305,DR007.IB,4.79
765,20150306,DR007.IB,4.6
766,20150309,DR007.IB,4.85
767,20150310,DR007.IB,4.75
768,20150311,DR007.IB,4.95
769,20150312,DR007.IB,4.76
770,20150313,DR007.IB,4.72
771,20150316,DR007.IB,4.61
772,20150317,DR007.IB,4.64
773,20150318,DR007.IB,4.59
774,20150319,DR007.IB,4.41
775,20150320,DR007.IB,4.32
776,20150323,DR007.IB,3.5
777,20150324,DR007.IB,3.99
778,20150325,DR007.IB,3.94
779,20150326,DR007.IB,4.3
780,20150327,DR007.IB,4.08
781,20150330,DR007.IB,4.2
782,20150331,DR007.IB,3.82
783,20150401,DR007.IB,3.76
784,20150402,DR007.IB,3.61
785,20150403,DR007.IB,3.43
786,20150407,DR007.IB,3.34
787,20150408,DR007.IB,3.2
788,20150409,DR007.IB,3.0
789,20150410,DR007.IB,2.91
790,20150413,DR007.IB,3.28
791,20150414,DR007.IB,2.9
792,20150415,DR007.IB,2.99
793,20150416,DR007.IB,2.98
794,20150417,DR007.IB,2.92
795,20150420,DR007.IB,2.79
796,20150421,DR007.IB,2.64
797,20150422,DR007.IB,2.6
798,20150423,DR007.IB,2.54
799,20150424,DR007.IB,2.47
800,20150427,DR007.IB,2.4
801,20150428,DR007.IB,2.48
802,20150429,DR007.IB,2.43
803,20150430,DR007.IB,1.61
804,20150504,DR007.IB,2.44
805,20150505,DR007.IB,2.47
806,20150506,DR007.IB,2.8
807,20150507,DR007.IB,2.4
808,20150508,DR007.IB,2.28
809,20150511,DR007.IB,2.21
810,20150512,DR007.IB,2.14
811,20150513,DR007.IB,2.09
812,20150514,DR007.IB,2.4
813,20150515,DR007.IB,1.9
814,20150518,DR007.IB,1.91
815,20150519,DR007.IB,1.97
816,20150520,DR007.IB,2.0
817,20150521,DR007.IB,2.02
818,20150522,DR007.IB,1.95
