日期,沪深300,中证500,国债指数,30年国债,大宗商品,豆粕指数,黄金(申万)
Date,000300.SH,000905.SH,000012.SH,931080.CSI,000979.CSI,MFI.WI,850531.SI
2013/3/18,-1.4717,-1.2703,0.0234,0.0362,-2.294,-2.5833,-0.6024
2013/3/19,0.9033,0.3196,0.0037,-0.0462,0.4683,0.3845,1.4631
2013/3/20,3.3693,2.609,0.0219,0.0689,2.3503,1.389,1.5177
2013/3/21,0.1844,1.0559,0.0102,0.0181,0.4846,0.3727,-0.415
2013/3/22,0.127,0.4179,0.0102,0.0715,0.1815,-0.0262,0.5561
2013/3/25,-0.199,-0.3184,0.019,0.0344,-0.1331,-0.4475,-0.6568
2013/3/26,-1.456,-0.6925,0.0015,0.0362,-1.6512,0.5,-1.549
2013/3/27,0.3293,0.2383,-0.0489,0.0786,-0.017,0.4451,-0.6847
2013/3/28,-3.2602,-2.9074,0.0731,0.0894,-2.756,-0.1341,0.5477
2013/3/29,-0.1688,-0.0491,0.011,0.1038,-0.5871,-1.6772,-1.3617
2013/4/1,-0.076,0.6868,0.0365,0.0901,0.1424,-1.2737,-1.8789
2013/4/2,-0.2726,-1.2233,0.0146,0.1063,-0.4453,-0.134,0.4164
2013/4/3,-0.1144,-0.912,-0.0336,0.1853,-0.66,-2.7765,-0.8914
2013/4/8,-0.4529,0.4091,0.0694,0.1796,-0.9178,-0.9555,1.4068
2013/4/9,0.6929,0.9745,0.0248,0.502,1.4687,-0.2633,-0.0036
2013/4/10,-0.1655,-0.2062,0.0153,0.0375,0.2933,0.5843,0.3018
2013/4/11,-0.2991,-0.4088,0.0175,-0.329,-1.1045,-0.7969,-1.2827
